time (seconds),encoderLeft (meters),encoderRight (meters)
23.194,3.6064295768737793,-0.08843283355236053
23.301,3.607602834701538,-0.08960917592048645
23.4,3.608776330947876,-0.09078557044267654
23.502,3.609949827194214,-0.09196195751428604
23.602,3.6111233234405518,-0.09313830733299255
23.701,3.6122965812683105,-0.09431470185518265
23.802,3.6134700775146484,-0.09549106657505035
23.901,3.6146435737609863,-0.09666747599840164
24,3.615817070007324,-0.09784385561943054
24.092,3.616990327835083,-0.09902025759220123
24.202,3.618163824081421,-0.10019665211439133
24.302,3.619337320327759,-0.10137297213077545
24.403,3.6205108165740967,-0.10254936665296555
24.5,3.6216840744018555,-0.10372577607631683
24.602,3.6228575706481934,-0.10490213334560394
24.701999999999998,3.6240310668945312,-0.10607851296663284
24.802,3.625204563140869,-0.10725492238998413
24.902,3.626378059387207,-0.10843126475811005
25.001,3.627551317214966,-0.10960765182971954
25.102,3.6287248134613037,-0.11078402400016785
25.201,3.6298983097076416,-0.11196041852235794
25.286,3.6310718059539795,-0.11313679814338684
25.401,3.6322450637817383,-0.11431316286325455
25.501,3.633418560028076,-0.11548956483602524
25.602,3.634592056274414,-0.11666595190763474
25.701999999999998,3.635765552520752,-0.11784230172634125
25.802,3.6369388103485107,-0.11901868879795074
25.902,3.6381123065948486,-0.12019505351781845
26,3.6392858028411865,-0.12137142568826675
26.102,3.6404592990875244,-0.12254784256219864
26.199,3.6416327953338623,-0.12372419238090515
26.296,3.642806053161621,-0.12490060180425644
26.402,3.643979549407959,-0.12607695162296295
26.496,3.645153045654297,-0.12725336849689484
26.601,3.6463265419006348,-0.12842969596385956
26.701999999999998,3.6474997997283936,-0.12960611283779144
26.802,3.6486732959747314,-0.13078245520591736
26.9,3.6498467922210693,-0.13195887207984924
27.001,3.6510202884674072,-0.13313521444797516
27.102,3.652193546295166,-0.13431161642074585
27.194,3.653367042541504,-0.13548800349235535
27.302,3.654540538787842,-0.13666439056396484
27.402,3.6557137966156006,-0.13784076273441315
